rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage,new_feature
97.0,BLR,BELARUS,europe,9498238.0,9534954.0,9633740.0,9700609.0,9731427.0,10256483.0,10428525.0,9817257.0,9170786.0,-0.18058533881806693,47.0,,,19033192.0
98.0,ISR,ISRAEL,asia,9174520.0,9038309.0,8757489.0,8007778.0,7328445.0,6116958.0,4803254.0,3744608.0,2907307.0,-0.2984889935951035,424.0,,,18212829.0
99.0,TGO,TOGO,africa,9053799.0,8848699.0,8442580.0,7473229.0,6571855.0,5008035.0,3875947.0,2838110.0,2197383.0,-0.2757608443321641,166.0,,,17902498.0
100.0,AUT,AUSTRIA,europe,8958960.0,8939617.0,8907777.0,8642421.0,8362829.0,8010428.0,7678729.0,7547561.0,7465301.0,-0.25866755956370713,109.0,0.22%,0.11%,17898577.0
101.0,CHE,SWITZERLAND,europe,8796669.0,8740472.0,8638613.0,8281732.0,7822435.0,7182059.0,6711693.0,6319113.0,6181227.0,-0.28554313064966574,223.0,0.64%,0.11%,17537141.0
102.0,SLE,"SIERRA,LEONE",africa,8791092.0,8605718.0,8233969.0,7314773.0,6436698.0,4584067.0,4325388.0,3367477.0,2778557.0,-0.26632312470902764,122.0,2.15%,0.11%,17396810.0
103.0,LAO,LAOS,asia,7633779.0,7529475.0,7319399.0,6787419.0,6323418.0,5430853.0,4314443.0,3297519.0,2675283.0,-0.16215796248937525,33.0,1.39%,0.10%,15163254.0
104.0,HKG,"HONG,KONG",asia,7491609.0,7488865.0,7500958.0,7399838.0,7132438.0,6731195.0,5838574.0,4978544.0,3955072.0,-0.31089970533757094,7135.0,0.04%,0.09%,14980474.0
105.0,SRB,SERBIA,europe,7149077.0,7221365.0,7358005.0,7519496.0,7653748.0,7935022.0,7987529.0,7777010.0,7193533.0,-0.25583403491590484,82.0,-1.00%,0.09%,14370442.0
106.0,NIC,NICARAGUA,north america,7046310.0,6948392.0,6755895.0,6298598.0,5855734.0,5123222.0,4227820.0,3303309.0,2444767.0,-0.22932133168573382,59.0,1.41%,0.09%,13994702.0
107.0,LBY,LIBYA,africa,6888388.0,6812341.0,6653942.0,6192235.0,6491988.0,5154790.0,4236983.0,2962720.0,1909177.0,0.7988044700706238,4.0,1.12%,0.09%,13700729.0
108.0,PRY,PARAGUAY,south america,6861524.0,6780744.0,6618695.0,6177950.0,5768613.0,5123819.0,4059195.0,3078912.0,2408787.0,-0.05490558366013524,17.0,1.19%,0.09%,13642268.0
109.0,KGZ,KYRGYZSTAN,asia,6735347.0,6630623.0,6424874.0,5914980.0,5483774.0,4935182.0,4394734.0,3691209.0,3016384.0,-0.18541242791183962,35.0,1.58%,0.08%,13365970.0
110.0,BGR,BULGARIA,europe,6687717.0,6781953.0,6979175.0,7309253.0,7592273.0,8097691.0,8767778.0,8980606.0,8582950.0,-0.24162349860873095,62.0,-1.39%,0.08%,13469670.0
111.0,TKM,TURKMENISTAN,asia,6516100.0,6430770.0,6250438.0,5766431.0,5267970.0,4569132.0,3720278.0,2862903.0,2201432.0,-0.0035689326469019924,14.0,1.33%,0.08%,12946870.0
112.0,SLV,"EL,SALVADOR",north america,6364943.0,6336392.0,6292731.0,6231066.0,6114034.0,5958482.0,5367179.0,4508992.0,3619090.0,-0.2983179723969845,307.0,0.45%,0.08%,12701335.0
113.0,COG,"REPUBLIC,OF,THE,CONGO",africa,6106869.0,5970424.0,5702174.0,5064386.0,4437884.0,3134030.0,2385435.0,1829256.0,1396989.0,-0.09576892174354083,18.0,2.29%,0.08%,12077293.0
114.0,SGP,SINGAPORE,asia,6014723.0,5975689.0,5909869.0,5650018.0,5163590.0,4053602.0,3022209.0,2400729.0,2061831.0,-0.31114834870310193,8377.0,0.65%,0.08%,11990412.0
115.0,DNK,DENMARK,europe,5910913.0,5882261.0,5825641.0,5677796.0,5550849.0,5340655.0,5144623.0,5125392.0,4922963.0,-0.2844008857470996,148.0,0.49%,0.07%,11793174.0
116.0,SVK,SLOVAKIA,europe,5795199.0,5643453.0,5456681.0,5424444.0,5396424.0,5376690.0,5261305.0,4973883.0,4522867.0,-0.28065040980458544,118.0,2.69%,0.07%,11438652.0
117.0,CAF,"CENTRAL,AFRICAN,REPUBLIC",africa,5742315.0,5579144.0,5343020.0,4819333.0,4660067.0,3759170.0,2809221.0,2415276.0,2067356.0,0.08155292450101748,9.0,2.92%,0.07%,11321459.0
118.0,FIN,FINLAND,europe,5545475.0,5540745.0,5529468.0,5479461.0,5363271.0,5176209.0,4986545.0,4779418.0,4606621.0,-0.09802564426927377,18.0,0.09%,0.07%,11086220.0
119.0,NOR,NORWAY,europe,5474360.0,5434319.0,5379839.0,5190356.0,4889741.0,4491202.0,4241636.0,4085776.0,3875546.0,-0.1072532160733193,15.0,0.74%,0.07%,10908679.0
120.0,LBR,LIBERIA,africa,5418377.0,5302681.0,5087584.0,4612329.0,4019956.0,2895224.0,2209731.0,1932169.0,1463563.0,-0.2413142720881467,56.0,2.18%,0.07%,10721058.0
121.0,PSE,PALESTINE,asia,5371230.0,5250072.0,5019401.0,4484614.0,3992278.0,3139954.0,2124609.0,1453620.0,1118241.0,-0.3076711280328591,892.0,2.31%,0.07%,10621302.0
122.0,LBN,LEBANON,asia,5353930.0,5489739.0,5662923.0,6398940.0,4995800.0,4320642.0,3593700.0,2963702.0,2381791.0,-0.3050004206142624,523.0,-2.47%,0.07%,10843669.0
123.0,NZL,"NEW,ZEALAND",oceania,5228100.0,5185288.0,5061133.0,4590590.0,4346338.0,3855266.0,3397389.0,3147168.0,2824061.0,-0.14091157622711284,20.0,0.83%,0.07%,10413388.0
124.0,CRI,"COSTA,RICA",north america,5212173.0,5180829.0,5123105.0,4895242.0,4622252.0,3979193.0,3158253.0,2414303.0,1855697.0,-0.2793485030454727,102.0,0.60%,0.07%,10393002.0
125.0,IRL,IRELAND,europe,5056935.0,5023109.0,4946119.0,4665760.0,4524585.0,3768950.0,3485374.0,3391387.0,2937637.0,-0.26724891104718485,73.0,0.67%,0.06%,10080044.0
126.0,MRT,MAURITANIA,africa,4862989.0,4736139.0,4498604.0,3946220.0,3419461.0,2695003.0,2006027.0,1506694.0,1122198.0,0.33885210831022494,5.0,2.68%,0.06%,9599128.0
127.0,OMN,OMAN,asia,4644384.0,4576298.0,4543399.0,4191776.0,2881914.0,2344253.0,1804524.0,1017462.0,670693.0,-0.11627884402718741,15.0,1.49%,0.06%,9220682.0
128.0,PAN,PANAMA,north america,4468087.0,4408581.0,4294396.0,3957099.0,3623617.0,3001731.0,2449968.0,1956987.0,1516188.0,-0.26400266365558245,60.0,1.35%,0.06%,8876668.0
129.0,KWT,KUWAIT,asia,,,,,2943356.0,1934901.0,1674938.0,1493870.0,802786.0,-0.3003519256129904,242.0,0.97%,0.05%,
130.0,HRV,CROATIA,europe,,,,,4368682.0,4548434.0,4873707.0,4680144.0,4492638.0,-0.2758813795677387,72.0,-0.54%,0.05%,
131.0,ERI,ERITREA,africa,,,,,3147727.0,2392880.0,2149960.0,1657982.0,1272748.0,-0.2373820466804728,31.0,1.76%,0.05%,
132.0,GEO,GEORGIA,asia,,,,,3836831.0,4265172.0,5391636.0,5145843.0,4800426.0,-0.26761051675390884,54.0,-0.43%,0.05%,
133.0,MNG,MONGOLIA,asia,,,,,2702520.0,2450979.0,2161433.0,1697780.0,1293880.0,0.6754735743200685,2.0,1.44%,0.04%,
134.0,MDA,MOLDOVA,europe,3435931.0,3272996.0,3084847.0,3277388.0,3678186.0,4251573.0,4480199.0,4103240.0,3711140.0,-0.29023706301722774,104.0,4.98%,0.04%,6708927.0
135.0,URY,URUGUAY,south america,3423108.0,3422794.0,3429086.0,3402818.0,3352651.0,3292224.0,3117012.0,2953750.0,2790265.0,-0.19735046482998553,20.0,0.01%,0.04%,6845902.0
136.0,PRI,"PUERTO,RICO",north america,3260314.0,3252407.0,3271564.0,3497335.0,3717922.0,3827108.0,3543776.0,3214568.0,2737619.0,-0.30599878052357715,368.0,0.24%,0.04%,6512721.0
137.0,BIH,"BOSNIA,AND,HERZEGOVINA",europe,3210847.0,3233526.0,3318407.0,3524324.0,3811088.0,4179350.0,4494310.0,4199820.0,3815561.0,-0.279279715921506,63.0,-0.70%,0.04%,6444373.0
